time,msd
50,0.0029943
100,0.0141715
150,0.0298416
200,0.0493943
250,0.0689723
300,0.0882994
350,0.106933
400,0.124021
450,0.141465
500,0.158893
550,0.175801
600,0.193443
650,0.210727
700,0.226716
750,0.241812
800,0.254614
850,0.267007
900,0.27954
950,0.29116
1000,0.302993
1050,0.315466
1100,0.328395
1150,0.341822
1200,0.354836
1250,0.366999
1300,0.378988
1350,0.392164
1400,0.404727
1450,0.416577
1500,0.428302
1550,0.438568
1600,0.448192
1650,0.457507
1700,0.467619
1750,0.478731
1800,0.491194
1850,0.503938
1900,0.515725
1950,0.529104
2000,0.542646
2050,0.555928
2100,0.569461
2150,0.584211
2200,0.599247
2250,0.612524
2300,0.626664
2350,0.638866
2400,0.648493
2450,0.658454
2500,0.668451
2550,0.678477
2600,0.690044
2650,0.701568
2700,0.712328
2750,0.723061
2800,0.732715
2850,0.742355
2900,0.752336
2950,0.761139
3000,0.769729
3050,0.779865
3100,0.788921
3150,0.796131
3200,0.803079
3250,0.809693
3300,0.817565
3350,0.826731
3400,0.835716
3450,0.844954
3500,0.856933
3550,0.868059
3600,0.875884
3650,0.882211
3700,0.887103
3750,0.889876
3800,0.895091
3850,0.902342
3900,0.906651
3950,0.912665
4000,0.920633
4050,0.925658
4100,0.932826
4150,0.939016
4200,0.942611
4250,0.948782
4300,0.954531
4350,0.960841
4400,0.968464
4450,0.974863
4500,0.983909
4550,0.993849
4600,1.00319
4650,1.01406
4700,1.02353
4750,1.03125
4800,1.03982
4850,1.04858
4900,1.0583
4950,1.06917
5000,1.07868
5050,1.08873
5100,1.10118
5150,1.11081
5200,1.11932
5250,1.12711
5300,1.13317
5350,1.14141
5400,1.14853
5450,1.15387
5500,1.15877
5550,1.16518
5600,1.17332
5650,1.18225
5700,1.19276
5750,1.20273
5800,1.20892
5850,1.21705
5900,1.22245
5950,1.22652
6000,1.23411
6050,1.24089
6100,1.24925
6150,1.25717
6200,1.26317
6250,1.27098
6300,1.27721
6350,1.28177
6400,1.28575
6450,1.29389
6500,1.30377
6550,1.31017
6600,1.31559
6650,1.31971
6700,1.32297
6750,1.32771
6800,1.33308
6850,1.33698
6900,1.33821
6950,1.3399
7000,1.34461
7050,1.35169
7100,1.35906
7150,1.36415
7200,1.37092
7250,1.37799
7300,1.38471
7350,1.38961
7400,1.39241
7450,1.3987
7500,1.4061
7550,1.41169
7600,1.41679
7650,1.42201
7700,1.42924
7750,1.43354
7800,1.43668
7850,1.44216
7900,1.44674
7950,1.45113
8000,1.45572
8050,1.45648
8100,1.45652
8150,1.45717
8200,1.45772
8250,1.46125
8300,1.4653
8350,1.46846
8400,1.47495
8450,1.4799
8500,1.48467
8550,1.48962
8600,1.49267
8650,1.4976
8700,1.50166
8750,1.50592
8800,1.50986
8850,1.51089
8900,1.51378
8950,1.51809
9000,1.52167
9050,1.52915
9100,1.53747
9150,1.54528
9200,1.55527
9250,1.56202
9300,1.56861
9350,1.57748
9400,1.58585
9450,1.59331
9500,1.60077
9550,1.60806
9600,1.61529
9650,1.62396
9700,1.63156
9750,1.63968
9800,1.64803
9850,1.65563
9900,1.66305
9950,1.66834
10000,1.67162
10050,1.67516
10100,1.67751
10150,1.67998
10200,1.68514
10250,1.69229
10300,1.69863
10350,1.70347
10400,1.70438
10450,1.70665
10500,1.71319
10550,1.71553
10600,1.71789
10650,1.72206
10700,1.72624
10750,1.72779
10800,1.72687
10850,1.72936
10900,1.73156
10950,1.73482
11000,1.73907
11050,1.74252
11100,1.7486
11150,1.75567
11200,1.76307
11250,1.77182
11300,1.78366
11350,1.79446
11400,1.80021
11450,1.80683
11500,1.81429
11550,1.8196
11600,1.82638
11650,1.83173
11700,1.8326
11750,1.83536
11800,1.8397
11850,1.84374
11900,1.84828
11950,1.85399
12000,1.86135
12050,1.87094
12100,1.87974
12150,1.88724
12200,1.89528
12250,1.9046
12300,1.91048
12350,1.9143
12400,1.91934
12450,1.92236
12500,1.92592
12550,1.93127
12600,1.93668
12650,1.94599
12700,1.95362
12750,1.95989
12800,1.96543
12850,1.96979
12900,1.97325
12950,1.97623
13000,1.9792
13050,1.9847
13100,1.99121
13150,1.99671
13200,2.00077
13250,2.00325
13300,2.00474
13350,2.00702
13400,2.01169
13450,2.01716
13500,2.01905
13550,2.02287
13600,2.0259
13650,2.02419
13700,2.02775
13750,2.02918
13800,2.02978
13850,2.03284
13900,2.03412
13950,2.03701
14000,2.03992
14050,2.04204
14100,2.04317
14150,2.04278
14200,2.04581
14250,2.05144
14300,2.05355
14350,2.05743
14400,2.06485
14450,2.07179
14500,2.07635
14550,2.07954
14600,2.08558
14650,2.09285
14700,2.09632
14750,2.1004
14800,2.10457
14850,2.10662
14900,2.10832
14950,2.11038
15000,2.11483
15050,2.12025
15100,2.12641
15150,2.13229
15200,2.13778
15250,2.14262
15300,2.14754
15350,2.15215
15400,2.15823
15450,2.16413
15500,2.16521
15550,2.16535
15600,2.1648
15650,2.16632
15700,2.17197
15750,2.17647
15800,2.18365
15850,2.19128
15900,2.19625
15950,2.20338
16000,2.20705
16050,2.20913
16100,2.21683
16150,2.22256
16200,2.22812
16250,2.23316
16300,2.23584
16350,2.24128
16400,2.24518
16450,2.25013
16500,2.25349
16550,2.25435
16600,2.25558
16650,2.25277
16700,2.25175
16750,2.25265
16800,2.25047
16850,2.24963
16900,2.25122
16950,2.25171
17000,2.25285
17050,2.25362
17100,2.25191
17150,2.25016
17200,2.25109
17250,2.25116
17300,2.25274
17350,2.25716
17400,2.25988
17450,2.26097
17500,2.26512
17550,2.26802
17600,2.26803
17650,2.26901
17700,2.27006
17750,2.27211
17800,2.27598
17850,2.28245
